name=1; x= 1; y =  1; height =19; width=2; power=0.5; layer=0;
name=2; x= 22; y =  11;	height =9; width=2; power=0.32; layer=0;
name=3; x= 5; y =  1;	height =1; width=6; power=0.25; layer=0;
name=4; x= 4; y =  3; width=3; height =1; power=0.65; layer=0;
name=5; x= 8; y =  3; height =1; name=5; 	 width=3;  power=0.2; layer=0;
name=6; power=0.2; x= 4; y =  5; width=4; height =1; layer=0;
name=7; x= 9; y =  5; width=3; height =2; power=0.42; layer=0;
name=8; x= 4; y =  7; width=1.5; height =1.5; power=0.32; layer=0;
height =2.5; power=0.82; name=9; 	x= 4; y =  9; width=2.5; layer=0;
name=10; x= 7; y =  8; width=3.5; height =1.5; power=0.7; layer=0;
name=11; x= 8; y =  10; width=4; height =2; power=0.1; layer=0;
name=12; x= 4; y =  13; width=9; height =1; power=0.8; layer=0;
name=13; x= 4; y =  15; width=9; height =5; power=0.4; layer=0;
name=14; x= 12; y =  1; width=2.5; height =1; power=0.12; layer=0;
name=15; x= 13; y =  3; width=3.5; height =4; power=0.65; layer=0;
name=16; x= 13; y =  7; width=3; height =2; power=0.45; layer=0;
name=17; x= 13; y =  10; width=2; height =3; power=0.456; layer=0;
name=18; x= 17; y =  1; width=3; height =3; power=0.389; layer=0;
name=19; x= 21; y =  1; width=3; height =3; power=0.11; layer=0;
name=20; x= 17; y =  5; width=7; height =2; power=0.2; layer=0;
name=21; x= 17; y =  8; width=2; height =2; power=0.02; layer=0;
name=22; x= 20; y =  8; width=4; height =2; power=0.56; layer=0;
name=23; x= 16; y =  11; width=5; height =3; power=0.75; layer=0;
name=24; x= 13; y =  15; width=1.5; height =5; power=0.23; layer=0;
name=25; x= 15; y =  15; width=1.5; height =5; power=0.2; layer=0;
name=26; x= 17; y =  15; width=1.5; height =5; power=0.08; layer=0;
name=27; x= 19; y =  15; width=1.5; height =5; power=0.6; layer=0;
name=1; x= 1; y =  1; height =19; width=2; power=0.5; layer=1;
name=2; x= 22; y =  11;	height =9; width=2; power=0.32; layer=1;
name=3; x= 5; y =  1;	height =1; width=6; power=0.25; layer=1;
name=4; x= 4; y =  3; width=3; height =1; power=0.65; layer=1;
name=5; x= 8; y =  3; height =1; name=5; 	 width=3;  power=0.2; layer=1;
name=6; power=0.2; x= 4; y =  5; width=4; height =1; layer=1;
name=7; x= 9; y =  5; width=3; height =2; power=0.42; layer=1;
name=8; x= 4; y =  7; width=1.5; height =1.5; power=0.32; layer=1;
height =2.5; power=0.82; name=9; 	x= 4; y =  9; width=2.5; layer=1;
name=10; x= 7; y =  8; width=3.5; height =1.5; power=0.7; layer=1;
name=11; x= 8; y =  10; width=4; height =2; power=0.1; layer=1;
name=12; x= 4; y =  13; width=9; height =1; power=0.8; layer=1;
name=13; x= 4; y =  15; width=9; height =5; power=0.4; layer=1;
name=14; x= 12; y =  1; width=2.5; height =1; power=0.12; layer=1;
name=15; x= 13; y =  3; width=3.5; height =4; power=0.65; layer=1;
name=16; x= 13; y =  7; width=3; height =2; power=0.45; layer=1;
name=17; x= 13; y =  10; width=2; height =3; power=0.456; layer=1;
name=18; x= 17; y =  1; width=3; height =3; power=0.389; layer=1;
name=19; x= 21; y =  1; width=3; height =3; power=0.11; layer=1;
name=20; x= 17; y =  5; width=7; height =2; power=0.2; layer=1;
name=21; x= 17; y =  8; width=2; height =2; power=0.02; layer=1;
name=22; x= 20; y =  8; width=4; height =2; power=0.56; layer=1;
name=23; x= 16; y =  11; width=5; height =3; power=0.75; layer=1;
name=24; x= 13; y =  15; width=1.5; height =5; power=0.23; layer=1;
name=25; x= 15; y =  15; width=1.5; height =5; power=0.2; layer=1;
name=26; x= 17; y =  15; width=1.5; height =5; power=0.08; layer=1;
name=27; x= 19; y =  15; width=1.5; height =5; power=0.6; layer=1;
name=1; x= 1; y =  1; height =19; width=2; power=0.5; layer=2;
name=2; x= 22; y =  11;	height =9; width=2; power=0.32; layer=2;
name=3; x= 5; y =  1;	height =1; width=6; power=0.25; layer=2;
name=4; x= 4; y =  3; width=3; height =1; power=0.65; layer=2;
name=5; x= 8; y =  3; height =1; name=5; 	 width=3;  power=0.2; layer=2;
name=6; power=0.2; x= 4; y =  5; width=4; height =1; layer=2;
name=7; x= 9; y =  5; width=3; height =2; power=0.42; layer=2;
name=8; x= 4; y =  7; width=1.5; height =1.5; power=0.32; layer=2;
height =2.5; power=0.82; name=9; 	x= 4; y =  9; width=2.5; layer=2;
name=10; x= 7; y =  8; width=3.5; height =1.5; power=0.7; layer=2;
name=11; x= 8; y =  10; width=4; height =2; power=0.1; layer=2;
name=12; x= 4; y =  13; width=9; height =1; power=0.8; layer=2;
name=13; x= 4; y =  15; width=9; height =5; power=0.4; layer=2;
name=14; x= 12; y =  1; width=2.5; height =1; power=0.12; layer=2;
name=15; x= 13; y =  3; width=3.5; height =4; power=0.65; layer=2;
name=16; x= 13; y =  7; width=3; height =2; power=0.45; layer=2;
name=17; x= 13; y =  10; width=2; height =3; power=0.456; layer=2;
name=18; x= 17; y =  1; width=3; height =3; power=0.389; layer=2;
name=19; x= 21; y =  1; width=3; height =3; power=0.11; layer=2;
name=20; x= 17; y =  5; width=7; height =2; power=0.2; layer=2;
name=21; x= 17; y =  8; width=2; height =2; power=0.02; layer=2;
name=22; x= 20; y =  8; width=4; height =2; power=0.56; layer=2;
name=23; x= 16; y =  11; width=5; height =3; power=0.75; layer=2;
